# Generated from Nono Tuning Tool
# Version 3.1.1
# NTT: Name - Audiofrog
# NTT: Definition v2 - EABEAgKuAZABA8AIfAEAECc2AQDwVR0BAA 
12 9
15.917 9
16.22 9
16.528 9
16.842 9
17.162 9
17.488 8.999
17.821 8.999
18.16 8.998
18.505 8.997
18.857 8.996
19.215 8.994
19.58 8.992
19.953 8.989
20.332 8.986
20.719 8.983
21.112 8.978
21.514 8.974
21.923 8.968
22.339 8.962
22.764 8.956
23.197 8.948
23.638 8.94
24.087 8.931
24.545 8.921
25.012 8.91
25.487 8.898
25.972 8.885
26.466 8.871
26.969 8.856
27.481 8.84
28.004 8.823
28.536 8.804
29.079 8.785
29.631 8.764
30.195 8.741
30.769 8.718
31.354 8.693
31.95 8.666
32.557 8.638
33.176 8.608
33.807 8.577
34.449 8.545
35.104 8.51
35.771 8.474
36.452 8.436
37.144 8.397
37.851 8.355
38.57 8.312
39.303 8.267
40.051 8.22
40.812 8.171
41.588 8.12
42.378 8.067
43.184 8.012
44.005 7.954
44.841 7.895
45.694 7.833
46.563 7.769
47.448 7.703
48.35 7.634
49.269 7.563
50.205 7.49
51.16 7.414
52.132 7.336
53.124 7.255
54.133 7.171
55.162 7.085
56.211 6.997
57.28 6.905
58.369 6.811
59.478 6.714
60.609 6.614
61.761 6.512
62.935 6.406
64.132 6.298
65.351 6.186
66.593 6.072
67.859 5.954
69.149 5.834
70.464 5.71
71.803 5.583
73.168 5.453
74.559 5.319
75.976 5.182
77.421 5.042
78.893 4.899
80.392 4.752
81.921 4.601
83.478 4.448
85.065 4.296
86.682 4.148
88.33 4.004
90.009 3.862
91.72 3.724
93.464 3.59
95.241 3.459
97.051 3.331
98.896 3.206
100.776 3.084
102.692 2.966
104.644 2.85
106.633 2.738
108.66 2.628
110.726 2.522
112.831 2.418
114.976 2.318
117.162 2.22
119.389 2.125
121.659 2.032
123.971 1.943
126.328 1.856
128.73 1.772
131.177 1.69
133.671 1.611
136.212 1.534
138.801 1.46
141.44 1.388
144.128 1.319
146.868 1.252
149.66 1.187
152.505 1.125
155.405 1.065
158.359 1.007
161.369 0.951
164.437 0.897
167.563 0.845
170.748 0.796
173.994 0.748
177.302 0.702
180.673 0.658
184.107 0.616
187.607 0.576
191.174 0.538
194.808 0.501
198.511 0.466
202.285 0.433
206.131 0.401
210.049 0.371
214.042 0.343
218.111 0.316
222.258 0.29
226.483 0.266
230.788 0.243
235.176 0.222
239.646 0.202
244.202 0.183
248.844 0.165
253.575 0.149
258.395 0.133
263.308 0.119
268.313 0.106
273.414 0.094
278.612 0.083
283.908 0.072
289.305 0.063
294.805 0.054
300.409 0.047
306.12 0.04
311.94 0.033
317.87 0.028
323.912 0.023
330.07 0.019
336.345 0.015
342.739 0.012
349.254 0.009
355.894 0.007
362.659 0.005
369.554 0.004
376.579 0.002
383.738 0.001
391.033 0.001
398.466 0
406.041 0
413.76 0
421.626 0
429.641 0
437.809 0
446.131 0
454.613 0
463.255 0
472.061 0
481.035 0
490.18 0
499.498 -0.001
508.994 -0.001
518.67 -0.001
528.53 -0.002
538.578 -0.003
548.816 -0.003
559.249 -0.004
569.881 -0.005
580.714 -0.006
591.754 -0.007
603.003 -0.009
614.466 -0.01
626.148 -0.012
638.051 -0.014
650.18 -0.016
662.54 -0.018
675.135 -0.02
687.97 -0.023
701.048 -0.026
714.376 -0.029
727.956 -0.032
741.795 -0.036
755.896 -0.04
770.266 -0.044
784.909 -0.048
799.83 -0.053
815.035 -0.058
830.529 -0.063
846.318 -0.069
862.407 -0.075
878.801 -0.081
895.507 -0.088
912.531 -0.095
929.879 -0.102
947.556 -0.11
965.569 -0.118
983.925 -0.126
1002.63 -0.135
1021.69 -0.144
1041.112 -0.154
1060.904 -0.164
1081.072 -0.174
1101.624 -0.185
1122.566 -0.197
1143.906 -0.208
1165.652 -0.221
1187.811 -0.233
1210.392 -0.247
1233.402 -0.26
1256.849 -0.274
1280.742 -0.289
1305.089 -0.304
1329.899 -0.32
1355.181 -0.336
1380.943 -0.353
1407.195 -0.371
1433.946 -0.389
1461.206 -0.407
1488.984 -0.426
1517.29 -0.446
1546.134 -0.466
1575.526 -0.487
1605.478 -0.509
1635.998 -0.531
1667.099 -0.553
1698.791 -0.577
1731.085 -0.601
1763.994 -0.626
1797.527 -0.651
1831.699 -0.677
1866.52 -0.704
1902.003 -0.731
1938.16 -0.759
1975.005 -0.788
2012.551 -0.818
2050.81 -0.848
2089.796 -0.879
2129.524 -0.911
2170.007 -0.943
2211.259 -0.977
2253.295 -1.014
2296.131 -1.058
2339.781 -1.102
2384.261 -1.146
2429.586 -1.19
2475.773 -1.234
2522.838 -1.278
2570.798 -1.322
2619.67 -1.366
2669.47 -1.41
2720.218 -1.454
2771.93 -1.498
2824.625 -1.543
2878.321 -1.587
2933.039 -1.631
2988.797 -1.675
3045.615 -1.719
3103.512 -1.763
3162.511 -1.807
3222.631 -1.851
3283.894 -1.895
3346.322 -1.939
3409.936 -1.983
3474.76 -2.027
3540.816 -2.071
3608.128 -2.115
3676.719 -2.159
3746.614 -2.203
3817.838 -2.247
3890.416 -2.291
3964.374 -2.335
4039.738 -2.38
4116.534 -2.424
4194.791 -2.468
4274.535 -2.512
4355.795 -2.556
4438.599 -2.6
4522.978 -2.644
4608.961 -2.688
4696.578 -2.732
4785.862 -2.776
4876.842 -2.82
4969.552 -2.864
5064.024 -2.908
5160.293 -2.952
5258.391 -2.996
5358.354 -3.04
5460.218 -3.084
5564.018 -3.128
5669.791 -3.173
5777.576 -3.217
5887.409 -3.261
5999.33 -3.305
6113.378 -3.349
6229.595 -3.393
6348.021 -3.437
6468.699 -3.481
6591.67 -3.525
6716.98 -3.569
6844.671 -3.613
6974.79 -3.657
7107.382 -3.701
7242.495 -3.745
7380.177 -3.789
7520.476 -3.833
7663.442 -3.877
7809.126 -3.921
7957.579 -3.966
8108.855 -4.01
8263.006 -4.054
8420.088 -4.098
8580.156 -4.142
8743.267 -4.186
8909.478 -4.23
9078.85 -4.274
9251.441 -4.318
9427.313 -4.362
9606.529 -4.406
9789.151 -4.45
9975.245 -4.494
10164.877 -4.526
10358.114 -4.556
10555.024 -4.586
10755.678 -4.615
10960.146 -4.645
11168.501 -4.675
11380.817 -4.705
11597.169 -4.735
11817.634 -4.765
12042.29 -4.795
12271.217 -4.824
12504.496 -4.854
12742.209 -4.884
12984.442 -4.914
13231.279 -4.944
13482.809 -4.974
13739.12 -5.004
14000.305 -5.033
14266.454 -5.063
14537.662 -5.093
14814.027 -5.123
15095.645 -5.153
15382.617 -5.183
15675.044 -5.213
15973.031 -5.242
16276.682 -5.272
16586.106 -5.302
16901.412 -5.332
17222.712 -5.362
17550.12 -5.392
17883.752 -5.422
18223.726 -5.451
18570.164 -5.481
18923.187 -5.511
19282.921 -5.541
19649.494 -5.571
20023.036 -5.601
20403.679 -5.631
20791.558 -5.66
21186.81 -5.69
21589.577 -5.72
22000 -5.75
