# Generated from Nono Tuning Tool
# Version 3.1.1
# NTT: Name - Jazzi
# NTT: Definition v2 - FABiAgAZAEQCAB8AIAIAKAAEAgAyAOoBAD8A0AEAUADMAQBkALwBAH4ArgEAoACgAQDIAJABAEAGkAEA0AdyAQDECVQBABwMVAEAoA9yAQCIE5ABACBOkAEA 
12 10.5
19.953 10.5
20.332 10.389
20.719 10.263
21.112 10.136
21.514 10.01
21.923 9.883
22.339 9.756
22.764 9.63
23.197 9.503
23.638 9.377
24.087 9.25
24.545 9.123
25.012 8.996
25.487 8.838
25.972 8.681
26.466 8.523
26.969 8.366
27.481 8.208
28.004 8.051
28.536 7.893
29.079 7.735
29.631 7.578
30.195 7.42
30.769 7.263
31.354 7.138
31.95 7.034
32.557 6.931
33.176 6.827
33.807 6.724
34.449 6.621
35.104 6.517
35.771 6.414
36.452 6.31
37.144 6.207
37.851 6.103
38.57 6
39.303 5.896
40.051 5.793
40.812 5.683
41.588 5.573
42.378 5.464
43.184 5.354
44.005 5.244
44.841 5.134
45.694 5.025
46.563 4.915
47.448 4.805
48.35 4.696
49.269 4.586
50.205 4.477
51.16 4.371
52.132 4.265
53.124 4.159
54.133 4.053
55.162 3.947
56.211 3.841
57.28 3.735
58.369 3.63
59.478 3.524
60.609 3.418
61.761 3.312
62.935 3.206
64.132 3.185
65.351 3.169
66.593 3.154
67.859 3.138
69.149 3.122
70.464 3.106
71.803 3.09
73.168 3.075
74.559 3.059
75.976 3.043
77.421 3.027
78.893 3.012
80.392 2.982
81.921 2.915
83.478 2.847
85.065 2.78
86.682 2.712
88.33 2.645
90.009 2.577
91.72 2.51
93.464 2.442
95.241 2.375
97.051 2.307
98.896 2.24
100.776 2.177
102.692 2.12
104.644 2.063
106.633 2.005
108.66 1.948
110.726 1.891
112.831 1.834
114.976 1.777
117.162 1.72
119.389 1.663
121.659 1.606
123.971 1.549
126.328 1.492
128.73 1.437
131.177 1.382
133.671 1.327
136.212 1.272
138.801 1.216
141.44 1.161
144.128 1.106
146.868 1.051
149.66 0.996
152.505 0.941
155.405 0.885
158.359 0.83
161.369 0.769
164.437 0.702
167.563 0.634
170.748 0.567
173.994 0.499
177.302 0.432
180.673 0.364
184.107 0.297
187.607 0.229
191.174 0.162
194.808 0.094
198.511 0.027
202.285 0
1575.526 0
1605.478 -0.023
1635.998 -0.15
1667.099 -0.276
1698.791 -0.403
1731.085 -0.529
1763.994 -0.656
1797.527 -0.783
1831.699 -0.909
1866.52 -1.036
1902.003 -1.162
1938.16 -1.289
1975.005 -1.415
2012.551 -1.542
2050.81 -1.669
2089.796 -1.795
2129.524 -1.922
2170.007 -2.048
2211.259 -2.175
2253.295 -2.302
2296.131 -2.428
2339.781 -2.555
2384.261 -2.681
2429.586 -2.808
2475.773 -2.935
2522.838 -3
3045.615 -3
3103.512 -2.993
3162.511 -2.883
3222.631 -2.772
3283.894 -2.661
3346.322 -2.55
3409.936 -2.439
3474.76 -2.328
3540.816 -2.218
3608.128 -2.107
3676.719 -1.996
3746.614 -1.885
3817.838 -1.774
3890.416 -1.663
3964.374 -1.553
4039.738 -1.434
4116.534 -1.307
4194.791 -1.18
4274.535 -1.054
4355.795 -0.927
4438.599 -0.801
4522.978 -0.674
4608.961 -0.547
4696.578 -0.421
4785.862 -0.294
4876.842 -0.168
4969.552 -0.041
5064.024 0
22000 0
