# Generated from Nono Tuning Tool
# Version 3.1.1
# NTT: Name - ResoNix Laid-Back
# NTT: Definition v2 - EgDkAgAeANACADYAcQIAXwADAgCWAOABANIAxwEAhAG4AQCsA5ABAGwHWQEA5AwsAQAIIEABAJAzOwEACFInAQA - smooth 
12 17
17.821 17
18.16 17
18.505 16.999
18.857 16.996
19.215 16.991
19.58 16.985
19.953 16.976
20.332 16.966
20.719 16.953
21.112 16.938
21.514 16.92
21.923 16.899
22.339 16.876
22.764 16.849
23.197 16.819
23.638 16.786
24.087 16.749
24.545 16.708
25.012 16.663
25.487 16.614
25.972 16.562
26.466 16.504
26.969 16.442
27.481 16.376
28.004 16.305
28.536 16.228
29.079 16.147
29.631 16.06
30.195 15.968
30.769 15.869
31.354 15.764
31.95 15.653
32.557 15.537
33.176 15.415
33.807 15.288
34.449 15.157
35.104 15.02
35.771 14.879
36.452 14.735
37.144 14.586
37.851 14.434
38.57 14.279
39.303 14.12
40.051 13.959
40.812 13.796
41.588 13.63
42.378 13.462
43.184 13.293
44.005 13.122
44.841 12.95
45.694 12.777
46.563 12.604
47.448 12.43
48.35 12.257
49.269 12.083
50.205 11.91
51.16 11.738
52.132 11.567
53.124 11.397
54.133 11.228
55.162 11.056
56.211 10.88
57.28 10.698
58.369 10.512
59.478 10.322
60.609 10.129
61.761 9.932
62.935 9.734
64.132 9.533
65.351 9.331
66.593 9.128
67.859 8.924
69.149 8.721
70.464 8.518
71.803 8.315
73.168 8.115
74.559 7.916
75.976 7.72
77.421 7.527
78.893 7.337
80.392 7.151
81.921 6.969
83.478 6.793
85.065 6.621
86.682 6.456
88.33 6.297
90.009 6.144
91.72 5.999
93.464 5.862
95.241 5.733
97.051 5.613
98.896 5.501
100.776 5.396
102.692 5.298
104.644 5.207
106.633 5.122
108.66 5.043
110.726 4.968
112.831 4.898
114.976 4.832
117.162 4.769
119.389 4.708
121.659 4.651
123.971 4.594
126.328 4.539
128.73 4.485
131.177 4.43
133.671 4.376
136.212 4.32
138.801 4.263
141.44 4.204
144.128 4.142
146.868 4.077
149.66 4.009
152.505 3.937
155.405 3.863
158.359 3.788
161.369 3.712
164.437 3.635
167.563 3.558
170.748 3.481
173.994 3.405
177.302 3.329
180.673 3.255
184.107 3.182
187.607 3.111
191.174 3.043
194.808 2.977
198.511 2.915
202.285 2.856
206.131 2.8
210.049 2.749
214.042 2.703
218.111 2.659
222.258 2.619
226.483 2.582
230.788 2.548
235.176 2.517
239.646 2.488
244.202 2.462
248.844 2.438
253.575 2.415
258.395 2.395
263.308 2.376
268.313 2.358
273.414 2.342
278.612 2.326
283.908 2.312
289.305 2.297
294.805 2.284
300.409 2.27
306.12 2.256
311.94 2.242
317.87 2.228
323.912 2.213
330.07 2.197
336.345 2.181
342.739 2.163
349.254 2.143
355.894 2.122
362.659 2.1
369.554 2.075
376.579 2.048
383.738 2.018
391.033 1.987
398.466 1.954
406.041 1.922
413.76 1.889
421.626 1.856
429.641 1.822
437.809 1.789
446.131 1.755
454.613 1.721
463.255 1.686
472.061 1.651
481.035 1.616
490.18 1.58
499.498 1.544
508.994 1.508
518.67 1.471
528.53 1.434
538.578 1.396
548.816 1.358
559.249 1.319
569.881 1.28
580.714 1.24
591.754 1.2
603.003 1.159
614.466 1.117
626.148 1.075
638.051 1.033
650.18 0.99
662.54 0.946
675.135 0.902
687.97 0.857
701.048 0.811
714.376 0.764
727.956 0.717
741.795 0.669
755.896 0.621
770.266 0.571
784.909 0.521
799.83 0.471
815.035 0.419
830.529 0.366
846.318 0.313
862.407 0.259
878.801 0.204
895.507 0.148
912.531 0.091
929.879 0.034
947.556 -0.025
965.569 -0.085
983.925 -0.147
1002.63 -0.209
1021.69 -0.274
1041.112 -0.339
1060.904 -0.406
1081.072 -0.473
1101.624 -0.542
1122.566 -0.612
1143.906 -0.683
1165.652 -0.755
1187.811 -0.827
1210.392 -0.901
1233.402 -0.975
1256.849 -1.05
1280.742 -1.125
1305.089 -1.201
1329.899 -1.278
1355.181 -1.355
1380.943 -1.432
1407.195 -1.51
1433.946 -1.588
1461.206 -1.666
1488.984 -1.745
1517.29 -1.823
1546.134 -1.902
1575.526 -1.98
1605.478 -2.059
1635.998 -2.137
1667.099 -2.216
1698.791 -2.294
1731.085 -2.372
1763.994 -2.449
1797.527 -2.526
1831.699 -2.603
