# Generated from Nono Tuning Tool
# Version 3.1.1
# NTT: Name - Half Whitledge
# NTT: Definition v2 - EgCAAgAjAEkCADgA7wEAZAC9AQDaAJUBAKQBfAEAqgJ8AQCIBHIBAOgIaAEAsCJFAQAgTiwBAA - smooth 
12 12
12.228 12
12.697 12
17.821 12
18.16 11.999
18.505 11.994
18.857 11.983
19.215 11.966
19.58 11.944
19.953 11.917
20.332 11.885
20.719 11.847
21.112 11.805
21.514 11.758
21.923 11.706
22.339 11.65
22.764 11.589
23.197 11.524
23.638 11.455
24.087 11.382
24.545 11.305
25.012 11.223
25.487 11.138
25.972 11.05
26.466 10.958
26.969 10.862
27.481 10.763
28.004 10.661
28.536 10.556
29.079 10.448
29.631 10.337
30.195 10.223
30.769 10.107
31.354 9.988
31.95 9.867
32.557 9.743
33.176 9.618
33.807 9.49
34.449 9.361
35.104 9.229
35.771 9.09
36.452 8.94
37.144 8.78
37.851 8.612
38.57 8.436
39.303 8.254
40.051 8.065
40.812 7.872
41.588 7.674
42.378 7.474
43.184 7.271
44.005 7.067
44.841 6.863
45.694 6.659
46.563 6.457
47.448 6.257
48.35 6.061
49.269 5.869
50.205 5.682
51.16 5.502
52.132 5.328
53.124 5.163
54.133 5.006
55.162 4.86
56.211 4.724
57.28 4.595
58.369 4.472
59.478 4.354
60.609 4.241
61.761 4.132
62.935 4.028
64.132 3.929
65.351 3.833
66.593 3.741
67.859 3.653
69.149 3.568
70.464 3.486
71.803 3.407
73.168 3.33
74.559 3.257
75.976 3.185
77.421 3.115
78.893 3.047
80.392 2.981
81.921 2.916
83.478 2.852
85.065 2.789
86.682 2.727
88.33 2.665
90.009 2.603
91.72 2.541
93.464 2.479
95.241 2.416
97.051 2.353
98.896 2.288
100.776 2.223
102.692 2.159
104.644 2.096
106.633 2.034
108.66 1.973
110.726 1.914
112.831 1.856
114.976 1.799
117.162 1.743
119.389 1.688
121.659 1.634
123.971 1.581
126.328 1.529
128.73 1.477
131.177 1.427
133.671 1.378
136.212 1.329
138.801 1.281
141.44 1.233
144.128 1.187
146.868 1.141
149.66 1.095
152.505 1.05
155.405 1.006
158.359 0.962
161.369 0.918
164.437 0.875
167.563 0.832
170.748 0.79
173.994 0.748
177.302 0.706
180.673 0.664
184.107 0.622
187.607 0.581
191.174 0.539
194.808 0.498
198.511 0.457
202.285 0.415
206.131 0.374
210.049 0.332
214.042 0.291
218.111 0.249
222.258 0.206
226.483 0.162
230.788 0.117
235.176 0.072
239.646 0.025
244.202 -0.022
248.844 -0.07
253.575 -0.118
258.395 -0.166
263.308 -0.214
268.313 -0.263
273.414 -0.31
278.612 -0.358
283.908 -0.405
289.305 -0.451
294.805 -0.496
300.409 -0.541
306.12 -0.584
311.94 -0.626
317.87 -0.666
323.912 -0.705
330.07 -0.742
336.345 -0.778
342.739 -0.811
349.254 -0.842
355.894 -0.871
362.659 -0.897
369.554 -0.921
376.579 -0.941
383.738 -0.959
391.033 -0.974
398.466 -0.986
406.041 -0.994
413.76 -0.999
421.626 -1
675.135 -1
687.97 -1
701.048 -1.003
714.376 -1.008
727.956 -1.015
741.795 -1.024
755.896 -1.035
770.266 -1.049
784.909 -1.063
799.83 -1.08
815.035 -1.098
830.529 -1.117
846.318 -1.137
862.407 -1.158
878.801 -1.18
895.507 -1.202
912.531 -1.225
929.879 -1.249
947.556 -1.272
965.569 -1.296
983.925 -1.319
1002.63 -1.343
1021.69 -1.366
1041.112 -1.388
1060.904 -1.41
1081.072 -1.431
1101.624 -1.451
1122.566 -1.47
1143.906 -1.488
1165.652 -1.504
1187.811 -1.52
1210.392 -1.535
1233.402 -1.549
1256.849 -1.564
1280.742 -1.578
1305.089 -1.591
1329.899 -1.605
1355.181 -1.618
1380.943 -1.631
1407.195 -1.644
1433.946 -1.656
1461.206 -1.669
1488.984 -1.681
1517.29 -1.693
1546.134 -1.705
1575.526 -1.718
1605.478 -1.73
1635.998 -1.742
1667.099 -1.755
1698.791 -1.767
1731.085 -1.78
1763.994 -1.792
1797.527 -1.805
1831.699 -1.819
1866.52 -1.832
1902.003 -1.846
1938.16 -1.86
1975.005 -1.875
2012.551 -1.889
2050.81 -1.905
2089.796 -1.921
2129.524 -1.937
2170.007 -1.953
2211.259 -1.971
2253.295 -1.989
2296.131 -2.007
2339.781 -2.026
2384.261 -2.045
2429.586 -2.064
2475.773 -2.083
2522.838 -2.103
2570.798 -2.123
2619.67 -2.143
2669.47 -2.163
2720.218 -2.184
2771.93 -2.205
2824.625 -2.226
2878.321 -2.247
2933.039 -2.268
2988.797 -2.29
3045.615 -2.311
3103.512 -2.333
3162.511 -2.356
3222.631 -2.378
3283.894 -2.4
3346.322 -2.423
3409.936 -2.446
3474.76 -2.469
3540.816 -2.492
3608.128 -2.515
3676.719 -2.539
3746.614 -2.563
3817.838 -2.586
3890.416 -2.61
3964.374 -2.635
4039.738 -2.659
4116.534 -2.683
4194.791 -2.708
4274.535 -2.732
4355.795 -2.757
4438.599 -2.782
4522.978 -2.807
4608.961 -2.832
4696.578 -2.857
4785.862 -2.883
4876.842 -2.908
4969.552 -2.934
5064.024 -2.959
5160.293 -2.985
5258.391 -3.011
5358.354 -3.037
5460.218 -3.063
5564.018 -3.089
5669.791 -3.115
5777.576 -3.141
5887.409 -3.167
5999.33 -3.194
6113.378 -3.22
6229.595 -3.246
6348.021 -3.273
6468.699 -3.299
6591.67 -3.326
6716.98 -3.353
6844.671 -3.379
6974.79 -3.406
7107.382 -3.433
7242.495 -3.46
7380.177 -3.486
7520.476 -3.513
7663.442 -3.54
7809.126 -3.567
7957.579 -3.594
8108.855 -3.621
8263.006 -3.647
8420.088 -3.674
8580.156 -3.701
8743.267 -3.728
8909.478 -3.755
9078.85 -3.783
9251.441 -3.812
9427.313 -3.842
9606.529 -3.874
9789.151 -3.907
9975.245 -3.941
10164.877 -3.976
10358.114 -4.012
10555.024 -4.048
10755.678 -4.085
10960.146 -4.123
11168.501 -4.161
11380.817 -4.199
11597.169 -4.238
11817.634 -4.276
12042.29 -4.315
12271.217 -4.354
12504.496 -4.392
12742.209 -4.43
12984.442 -4.468
13231.279 -4.505
13482.809 -4.542
13739.12 -4.578
14000.305 -4.613
14266.454 -4.648
14537.662 -4.681
14814.027 -4.713
15095.645 -4.744
15382.617 -4.774
15675.044 -4.803
15973.031 -4.83
16276.682 -4.855
16586.106 -4.879
16901.412 -4.9
17222.712 -4.92
17550.12 -4.938
17883.752 -4.954
18223.726 -4.968
18570.164 -4.979
18923.187 -4.988
19282.921 -4.995
19649.494 -4.999
20023.036 -5
22000 -5
