# Generated from Nono Tuning Tool
# Version 3.1.1
# NTT: Name - ResoNix Accurate
# NTT: Definition v2 - DACeAgI-AFMCAIAA2wEAdgGQAQNcCG0BAOwOXgEBKBlyAQJgVF4BAQ 
12 13.5
12.228 13.5
12.461 13.5
12.697 13.5
12.939 13.5
13.185 13.499
13.435 13.499
13.691 13.498
13.951 13.497
14.216 13.496
14.487 13.494
14.762 13.492
15.043 13.49
15.329 13.488
15.62 13.484
15.917 13.481
16.22 13.477
16.528 13.472
16.842 13.467
17.162 13.461
17.488 13.455
17.821 13.448
18.16 13.44
18.505 13.431
18.857 13.422
19.215 13.412
19.58 13.401
19.953 13.389
20.332 13.376
20.719 13.362
21.112 13.347
21.514 13.332
21.923 13.315
22.339 13.297
22.764 13.278
23.197 13.258
23.638 13.236
24.087 13.214
24.545 13.19
25.012 13.165
25.487 13.138
25.972 13.11
26.466 13.081
26.969 13.05
27.481 13.018
28.004 12.985
28.536 12.95
29.079 12.913
29.631 12.875
30.195 12.835
30.769 12.793
31.354 12.75
31.95 12.705
32.557 12.658
33.176 12.61
33.807 12.559
34.449 12.507
35.104 12.453
35.771 12.397
36.452 12.339
37.144 12.279
37.851 12.216
38.57 12.152
39.303 12.086
40.051 12.018
40.812 11.947
41.588 11.874
42.378 11.799
43.184 11.722
44.005 11.642
44.841 11.56
45.694 11.476
46.563 11.389
47.448 11.3
48.35 11.209
49.269 11.114
50.205 11.018
51.16 10.918
52.132 10.817
53.124 10.712
54.133 10.605
55.162 10.495
56.211 10.382
57.28 10.267
58.369 10.148
59.478 10.027
60.609 9.903
61.761 9.776
62.935 9.626
64.132 9.47
65.351 9.314
66.593 9.158
67.859 9.003
69.149 8.847
70.464 8.691
71.803 8.535
73.168 8.379
74.559 8.223
75.976 8.067
77.421 7.911
78.893 7.756
80.392 7.6
81.921 7.444
83.478 7.288
85.065 7.132
86.682 6.976
88.33 6.82
90.009 6.665
91.72 6.509
93.464 6.353
95.241 6.197
97.051 6.041
98.896 5.885
100.776 5.729
102.692 5.573
104.644 5.418
106.633 5.262
108.66 5.106
110.726 4.95
112.831 4.794
114.976 4.638
117.162 4.482
119.389 4.326
121.659 4.171
123.971 4.015
126.328 3.859
128.73 3.691
131.177 3.499
133.671 3.313
136.212 3.135
138.801 2.963
141.44 2.797
144.128 2.638
146.868 2.484
149.66 2.337
152.505 2.196
155.405 2.061
158.359 1.931
161.369 1.807
164.437 1.688
167.563 1.575
170.748 1.466
173.994 1.363
177.302 1.265
180.673 1.172
184.107 1.083
187.607 0.999
191.174 0.919
194.808 0.844
198.511 0.773
202.285 0.706
206.131 0.643
210.049 0.584
214.042 0.529
218.111 0.477
222.258 0.429
226.483 0.384
230.788 0.342
235.176 0.304
239.646 0.268
